#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2020 04 05 14 00 999 99.0 99.0  0.32 11.11  3.49 292 9999.0 999.0   8.0 999.0 99.0 99.00
2020 04 05 14 30 999 99.0 99.0  0.34 10.53  4.42 289 9999.0 999.0   8.0 999.0 99.0 99.00
2020 04 05 15 00 999 99.0 99.0  0.37 10.53  4.43 314 9999.0 999.0   7.9 999.0 99.0 99.00
2020 04 05 15 30 999 99.0 99.0  0.43 10.53  3.28 299 9999.0 999.0   7.9 999.0 99.0 99.00
2020 04 05 16 00 999 99.0 99.0  0.48 10.00  3.17 291 9999.0 999.0   7.9 999.0 99.0 99.00
2020 04 05 16 30 999 99.0 99.0  0.44 10.00  2.87 286 9999.0 999.0   7.9 999.0 99.0 99.00
2020 04 05 17 00 999 99.0 99.0  0.46 10.00  2.57 303 9999.0 999.0   7.9 999.0 99.0 99.00
2020 04 05 17 30 999 99.0 99.0  0.41  2.86  2.46  41 9999.0 999.0   8.0 999.0 99.0 99.00
2020 04 05 18 00 999 99.0 99.0  0.36  9.52  2.57 292 9999.0 999.0   8.0 999.0 99.0 99.00
2020 04 05 18 30 999 99.0 99.0  0.38  9.09  2.79 299 9999.0 999.0   8.0 999.0 99.0 99.00
2020 04 05 19 00 999 99.0 99.0  0.38  8.70  3.14 292 9999.0 999.0   8.0 999.0 99.0 99.00
2020 04 05 19 30 999 99.0 99.0  0.37  9.09  3.27 289 9999.0 999.0   8.0 999.0 99.0 99.00
2020 04 05 20 00 999 99.0 99.0  0.38  9.09  3.25 292 9999.0 999.0   8.0 999.0 99.0 99.00
2020 04 05 20 30 999 99.0 99.0  0.36  9.09  3.27 291 9999.0 999.0   8.0 999.0 99.0 99.00
2020 04 05 21 00 999 99.0 99.0  0.39  9.52  3.56 298 9999.0 999.0   8.0 999.0 99.0 99.00
2020 04 05 21 30 999 99.0 99.0  0.34  9.52  3.28 295 9999.0 999.0   8.1 999.0 99.0 99.00
2020 04 05 22 00 999 99.0 99.0  0.36 10.00  3.71 296 9999.0 999.0   8.1 999.0 99.0 99.00
2020 04 05 22 30 999 99.0 99.0  0.32 10.00  3.37 294 9999.0 999.0   8.1 999.0 99.0 99.00
2020 04 05 23 00 999 99.0 99.0  0.33 10.00  4.16 292 9999.0 999.0   8.1 999.0 99.0 99.00
2020 04 05 23 30 999 99.0 99.0  0.31 10.53  4.16 294 9999.0 999.0   8.2 999.0 99.0 99.00
2020 04 06 00 00 999 99.0 99.0  0.33 10.00  5.40 290 9999.0 999.0   8.0 999.0 99.0 99.00
2020 04 06 00 30 999 99.0 99.0  0.30 10.00  5.73 289 9999.0 999.0   8.3 999.0 99.0 99.00
2020 04 06 01 00 999 99.0 99.0  0.27 10.53  5.59 285 9999.0 999.0   8.0 999.0 99.0 99.00
2020 04 06 01 30 999 99.0 99.0  0.29 10.53  6.74 273 9999.0 999.0   8.0 999.0 99.0 99.00
2020 04 06 02 00 999 99.0 99.0  0.33 10.53  8.98 282 9999.0 999.0   8.0 999.0 99.0 99.00
2020 04 06 02 30 999 99.0 99.0  0.29 10.53  8.93 279 9999.0 999.0   8.0 999.0 99.0 99.00
2020 04 06 03 00 999 99.0 99.0  0.27 10.53  7.23 289 9999.0 999.0   8.0 999.0 99.0 99.00
2020 04 06 03 30 999 99.0 99.0  0.27 10.53  7.42 287 9999.0 999.0   7.9 999.0 99.0 99.00
2020 04 06 04 00 999 99.0 99.0  0.29 10.00  7.67 288 9999.0 999.0   7.9 999.0 99.0 99.00
2020 04 06 04 30 999 99.0 99.0  0.31  9.52  7.46 280 9999.0 999.0   7.9 999.0 99.0 99.00
2020 04 06 05 00 999 99.0 99.0  0.35  9.52  7.86 287 9999.0 999.0   7.9 999.0 99.0 99.00
2020 04 06 05 30 999 99.0 99.0  0.32  9.52  7.71 288 9999.0 999.0   7.8 999.0 99.0 99.00
2020 04 06 06 00 999 99.0 99.0  0.37  9.09  7.58 287 9999.0 999.0   7.9 999.0 99.0 99.00
2020 04 06 06 30 999 99.0 99.0  0.39  8.70  7.11 288 9999.0 999.0   7.7 999.0 99.0 99.00
2020 04 06 07 00 999 99.0 99.0  0.38  8.70  7.01 283 9999.0 999.0   7.7 999.0 99.0 99.00
2020 04 06 07 30 999 99.0 99.0  0.44  8.70  7.17 296 9999.0 999.0   7.8 999.0 99.0 99.00
2020 04 06 08 00 999 99.0 99.0  0.50  8.33  6.95 294 9999.0 999.0   7.8 999.0 99.0 99.00
2020 04 06 08 30 999 99.0 99.0  0.53  8.00  6.98 293 9999.0 999.0   7.8 999.0 99.0 99.00
2020 04 06 09 00 999 99.0 99.0  0.58  8.33  7.19 288 9999.0 999.0   7.9 999.0 99.0 99.00
2020 04 06 09 30 999 99.0 99.0  0.64  8.00  7.26 291 9999.0 999.0   7.9 999.0 99.0 99.00
2020 04 06 10 00 999 99.0 99.0  0.62  8.33  7.51 292 9999.0 999.0   7.9 999.0 99.0 99.00
2020 04 06 10 30 999 99.0 99.0  0.60  8.00  7.02 297 9999.0 999.0   7.8 999.0 99.0 99.00
2020 04 06 11 00 999 99.0 99.0  0.61  8.70  6.61 294 9999.0 999.0   7.7 999.0 99.0 99.00
2020 04 06 11 30 999 99.0 99.0  0.57  9.09  6.58 290 9999.0 999.0   7.7 999.0 99.0 99.00
