#YY  MM DD hh WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2004 07 14 17 251  1.8  2.3  0.74  7.69  5.85 278 1016.1  12.2  11.5  11.7 99.0 99.00
2004 07 14 18 247  1.7  2.4  0.78  7.14  5.46 276 1016.0  12.3  11.5  11.8 99.0 99.00
2004 07 14 19 228  2.4  2.7  0.78  7.14  5.45 273 1015.9  12.1  11.8  11.8 99.0 99.00
2004 07 14 20 237  2.5  3.0  0.72  7.14  5.39 265 1015.6  12.2  11.9  11.8 99.0 99.00
2004 07 14 21 252  2.9  3.3  0.68  6.67  5.44 252 1015.3  12.3  12.0  12.1 99.0 99.00
2004 07 14 22 255  2.4  3.1  0.61  7.14  5.90 261 1015.5  12.5  11.8  12.1 99.0 99.00
2004 07 14 23 264  3.6  4.2  0.69  7.14  6.12 271 1015.2  12.5  11.8  12.1 99.0 99.00
2004 07 15 00 285  3.2  4.3  0.71  7.14  6.16 284 1014.9  12.5  12.1  12.1 99.0 99.00
2004 07 15 01 251  4.5  5.3  0.63  6.67  5.87 274 1014.9  12.5  11.7  12.1 99.0 99.00
2004 07 15 02 236  2.4  3.3  0.61  7.14  6.07 285 1015.3  12.6  11.8  12.2 99.0 99.00
2004 07 15 03 242  2.6  2.9  0.59  6.67  5.74 298 1015.5  12.6  11.7  12.1 99.0 99.00
2004 07 15 04 264  2.9  3.3  0.56  6.67  5.39 279 1016.1  12.5  11.7  12.0 99.0 99.00
2004 07 15 05 251  3.4  3.9  0.59  7.14  5.17 278 1016.3  12.4  11.6  11.9 99.0 99.00
2004 07 15 06 265  2.1  2.4  0.60  7.69  4.79 202 1016.4  12.4  11.6  11.8 99.0 99.00
2004 07 15 07 259  2.5  3.0  0.55 12.12  4.89 215 1016.1  12.4  11.7  11.8 99.0 99.00
2004 07 15 08 250  2.4  2.7  0.55 16.00  5.32 243 1016.0  12.4  11.7  11.8 99.0 99.00
2004 07 15 09 246  2.1  2.6  0.56  7.14  5.40 260 1016.1  12.3  11.6  11.7 99.0 99.00
2004 07 15 10 267  3.0  3.5  0.63  7.14  5.17 265 1016.1  12.5  11.6  12.0 99.0 99.00
2004 07 15 11 278  2.0  2.4  0.63  7.14  5.50 256 1016.3  12.6  11.6  12.0 99.0 99.00
2004 07 15 12 239  1.5  1.9  0.57  6.67  5.64 263 1016.3  12.2  11.5  11.6 99.0 99.00
2004 07 15 13 241  1.1  1.3  0.61  6.67  5.62 252 1016.2  12.1  11.5  11.5 99.0 99.00
2004 07 15 14 215  1.0  1.7  0.63  6.67  6.06 264 1016.5  12.0  11.5  11.5 99.0 99.00
2004 07 15 15 193  0.4  0.6  0.63  6.67  5.99 268 1016.8  12.4  11.5  11.9 99.0 99.00
2004 07 15 16 246  0.4  1.1  0.68  6.67  5.68 261 1017.2  12.5  11.5  12.1 99.0 99.00
2004 07 15 17 252  0.1  0.3  0.66  6.25  5.63 250 1017.5  12.8  11.6  12.4 99.0 99.00
2004 07 15 18 180  0.1  0.4  0.68  6.25  5.48 238 1017.7  13.1  11.9  12.6 99.0 99.00
2004 07 15 19 214  0.8  1.8  0.63  5.56  5.40 246 1017.8  13.0  12.1  12.9 99.0 99.00
2004 07 15 20 286  0.4  1.3  0.61  5.88  5.16 236 1017.9  13.2  12.5  13.0 99.0 99.00
2004 07 15 21 252  0.6  1.1  0.57  5.56  5.35 231 1017.9  14.0  13.5  13.0 99.0 99.00
2004 07 15 22 308  1.9  2.4  0.48 13.79  5.50 233 1018.0  14.5  14.8  13.2 99.0 99.00
2004 07 15 23 348  2.1  2.7  0.50  7.14  5.69 228 1018.1  14.5  13.6  13.1 99.0 99.00
2004 07 16 00 351  1.8  2.5  0.55  7.14  6.18 234 1017.9  14.9  13.3  13.0 99.0 99.00
2004 07 16 01 306  1.0  3.2  0.59  5.26  6.15 256 1017.7  15.6  14.0  12.8 99.0 99.00
2004 07 16 02 236  3.6  4.2  0.62  6.67  6.51 248 1017.5  14.6  13.2  13.6 99.0 99.00
2004 07 16 03 227  2.0  2.9  0.66  7.69  6.57 223 1017.5  14.6  12.8  13.7 99.0 99.00
2004 07 16 04 195  5.1  6.4  0.61  7.69  6.38 230 1017.2  14.0  12.5  13.3 99.0 99.00
2004 07 16 05 186  3.8  4.6  0.58  7.69  5.84 229 1017.5  13.5  11.8  12.6 99.0 99.00
2004 07 16 06 166  1.8  2.6  0.72  7.14  5.97 234 1017.5  13.6  11.9  13.0 99.0 99.00
2004 07 16 07 215  0.2  1.2  0.88  6.25  5.86 238 1017.3  13.0  12.0  12.4 99.0 99.00
2004 07 16 08  35  1.3  2.0  0.93  5.88  5.59 236 1017.3  13.6  11.9  13.0 99.0 99.00
2004 07 16 09   7  0.7  1.9  0.94  6.67  5.64 218 1017.1  14.2  12.0  13.6 99.0 99.00
2004 07 16 10  19  0.9  1.4  0.94  5.88  5.27 227 1017.2  14.4  12.0  13.9 99.0 99.00
2004 07 16 11 357  1.4  1.7  0.91  7.14  5.67 218 1017.3  14.6  11.9  14.1 99.0 99.00
2004 07 16 12 223  0.5  1.0  0.78  7.69  5.76 220 1017.4  13.2  11.8  12.6 99.0 99.00
2004 07 16 13 346  0.2  0.5  0.75  7.69  6.24 235 1017.7  13.6  11.7  13.0 99.0 99.00
2004 07 16 14  33  0.9  1.2  0.63  7.69  6.47 226 1017.8  12.6  11.6 999.0 99.0 99.00
2004 07 16 15  33  1.6  2.1  0.62  6.67  6.51 226 1018.1  13.3  11.6  13.2 99.0 99.00
2004 07 16 16  49  2.4  2.9  0.61  7.14  6.26 252 1018.1  13.3  11.8  12.8 99.0 99.00
2004 07 16 17 218  1.4  2.4  0.62  6.67  6.10 237 1018.2  14.0  12.3  13.3 99.0 99.00
2004 07 16 18 213  1.5  1.7  0.74  6.67  5.71 227 1018.1  12.9  12.5  12.4 99.0 99.00
2004 07 16 19 242  3.4  3.8  0.70  6.67  5.49 225 1017.9  13.1  12.7  12.8 99.0 99.00
2004 07 16 20 259  2.2  2.5  0.74  6.25  5.33 220 1017.6  13.5  12.8  13.2 99.0 99.00
2004 07 16 21 310  1.7  2.2  0.75  5.56  5.05 222 1017.7  13.7  12.9  13.3 99.0 99.00
2004 07 16 22 289  2.7  3.0  0.84  6.25  5.12 214 1017.5  13.9  13.3  13.6 99.0 99.00
2004 07 16 23 302  2.9  3.3  0.76  6.25  5.40 211 1017.2  14.1  13.6  13.7 99.0 99.00
