#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2020 04 03 20 20 242 10.2 12.4  1.17  7.14  4.92 287 1016.9   6.0   8.5 999.0 99.0 99.00
2020 04 03 20 50 240  7.8  9.7  1.45  5.56  4.84 264 1017.0   5.8   8.5 999.0 99.0 99.00
2020 04 03 21 20 266  7.6  9.6  1.27  6.67  4.70 270 1017.1   6.3   8.5 999.0 99.0 99.00
2020 04 03 21 50 310  5.9  9.5  1.37  5.88  4.93 270 1017.1   5.6   8.6 999.0 99.0 99.00
2020 04 03 22 20 297  9.8 12.7  1.33  6.25  4.98 278 1016.8   4.8   8.6 999.0 99.0 99.00
2020 04 03 22 50 274  7.7  9.5  1.47  6.25  5.23 272 1016.7   5.2   8.6 999.0 99.0 99.00
2020 04 03 23 20 268  6.1  7.8  1.35  6.25  5.21 284 1016.4   6.1   8.6 999.0 99.0 99.00
2020 04 03 23 50 267  7.6  9.2  1.23  6.25  5.29 276 1016.1   6.4   8.6 999.0 99.0 99.00
2020 04 04 00 20 261  7.0  8.7  1.25  5.88  5.28 283 1015.9   5.9   8.6 999.0 99.0 99.00
2020 04 04 00 50 247  6.4  7.5  1.27  6.25  5.08 279 1015.8   5.5   8.5 999.0 99.0 99.00
2020 04 04 01 20 243  5.6  6.7  1.21  5.88  5.15 265 1015.7   5.8   8.5 999.0 99.0 99.00
2020 04 04 01 50 250  5.4  6.8  1.19  5.88  5.05 277 1015.5   5.9   8.5 999.0 99.0 99.00
2020 04 04 02 20 250  4.4  5.4  1.25  5.88  5.10 287 1015.2   6.3   8.5 999.0 99.0 99.00
2020 04 04 02 50 266  4.8  5.9  1.11  5.56  5.07 282 1014.9   6.6   8.5 999.0 99.0 99.00
2020 04 04 03 20 282  5.7  7.0  1.14  5.88  5.09 280 1014.8   6.7   8.5 999.0 99.0 99.00
2020 04 04 03 50 281  5.6  6.6  1.14  5.56  4.95 283 1014.6   6.7   8.4 999.0 99.0 99.00
2020 04 04 04 20 281  5.5  6.8  1.17  5.56  4.76 284 1014.6   6.6   8.4 999.0 99.0 99.00
2020 04 04 04 50 277  3.8  4.9  1.21  5.88  4.96 280 1014.5   6.5   8.4 999.0 99.0 99.00
2020 04 04 05 20 279  3.7  5.3  1.16  5.88  4.84 278 1014.3   6.5   8.4 999.0 99.0 99.00
2020 04 04 05 50  39  1.0  2.9  1.03  6.25  4.84 286 1014.4   5.3   8.4 999.0 99.0 99.00
2020 04 04 06 20 331  0.4  2.0  1.06  5.00  4.88 272 1014.1   5.8   8.4 999.0 99.0 99.00
2020 04 04 06 50 262  3.7  5.1  1.06  5.56  4.88 281 1013.9   6.5   8.4 999.0 99.0 99.00
2020 04 04 07 20  42  3.9  5.3  1.03  5.56  4.82 288 1013.7   5.6   8.4 999.0 99.0 99.00
2020 04 04 07 50  71  3.6  5.4  1.06  5.56  5.06 295 1013.5   5.4   8.4 999.0 99.0 99.00
2020 04 04 08 20  85  3.3  5.0  0.99  5.88  4.92 288 1013.3   5.2   8.4 999.0 99.0 99.00
2020 04 04 08 50  81  4.5  5.2  1.01  5.88  5.06 275 1013.2   5.2   8.3 999.0 99.0 99.00
2020 04 04 09 20  46  4.9  6.3  0.88  6.25  4.76 278 1013.0   4.9   8.3 999.0 99.0 99.00
2020 04 04 09 50  43  2.8  4.1  0.96  6.25  5.06 278 1013.0   4.8   8.3 999.0 99.0 99.00
2020 04 04 10 20  30  3.4  4.4  0.90  6.67  5.20 273 1012.7   4.4   8.4 999.0 99.0 99.00
